Номер дільниці; Опис меж дільниці; Адреса приміщення для голосування (місцезнаходження) / Адреса дільничної виборчої комісії; Розмір дільниці; Кординати
440045; с.Вітрогон, с.Новодеркул; вул.Пастухова, 9, с.Новодеркул, Біловодський р-н, Луганська обл., 92833 (школа, коридор);Середня;39.618639,49.127522
440046; с.Городнє; вул.Молодіжна, 12, с.Городнє, Біловодський р-н, Луганська обл., 92833 (контора, фойє);мала;39.589319,49.164249
440047; с.Третяківка; вул.Центральна, 99, с.Третяківка, Біловодський р-н, Луганська обл., 92834 (сільський клуб, глядацька зала);мала;39.582357,49.124760
440048; с.Первомайськ; вул.Клубна, 1А, с.Первомайськ, Біловодський р-н, Луганська обл., 92834 (сільський клуб, фойє);мала;39.604682,49.085258
440049; с.Євсуг – вул.Сільська, вул.Шевченка: 1–75., вул.Широка: 9–176., пров.Вишневий, пров.Мирний, пров.Піщаний; вул.Шевченка, 2, с.Євсуг, Біловодський р-н, Луганська обл., 92820 (сільський клуб, фойє);мала;39.314544,49.209871
440050; с.Євсуг – вул.Булавіна, вул.Головченка, вул.Калинова, вул.Крейдяна, вул.Плоска, вул.Старобільська, вул.Шевченка: 77–85., вул.Широка: 177–234., пров.Луговий, пров.Тракторний, пров.Шкільний; вул.Старобільська, 32, с.Євсуг, Біловодський р-н, Луганська обл., 92820 (будинок культури, фойє);Середня;39.298331,49.202245
440051; с.Гончарове, с.Копані, с.Парневе, с.Привільне; вул.Центральна, 26, с.Парневе, Біловодський р-н, Луганська обл., 92822 (сільський клуб, службова кімната №1) / вул.Центальна, 26, с.Парневе, Біловодський р-н, Луганська обл., 92822;мала;39.406215,49.206687
440052; с.Кононівка; вул.Центральна, 18, с.Кононівка, Біловодський р-н, Луганська обл., 92810 (будинок культури, глядацька зала);мала;39.628427,49.337754
440053; с.Гармашівка; вул.Центральна, 35, с.Гармашівка, Біловодський р-н, Луганська обл., 92811 (сільський клуб, фойє);мала;39.626570,49.352230
440054; с.Лимарівка; вул.Центральна, 45, с.Лимарівка, Біловодський р-н, Луганська обл., 92812 (сільський клуб, фойє);мала;39.596424,49.324935
440055; с.Литвинівка; вул.Центральна, 56, с.Литвинівка, Біловодський р-н, Луганська обл., 92815 (сільська рада, актова зала);Середня;39.442624,49.306599
440056; с.Нижньобараниківка; вул.Степ України, 1, с.Нижньобараниківка, Біловодський р-н, Луганська обл., 92832 (сільська рада, фойє);мала;39.820460,49.092232
440057; с.Новоолександрівка; вул.Шкільна, 10, с.Новоолександрівка, Біловодський р-н, Луганська обл., 92823 (будинок культури, фойє);Середня;39.283737,49.138333
440058; с.Степове, с.Тернове; вул.Садова, 1, с.Степове, Біловодський р-н, Луганська обл., 92823 (фельдшерсько-акушерський пункт, кабінет керівника);мала;39.383874,49.123514
440059; с.Новолимарівка, с.Крейдяне; вул.Миру, 48, с.Новолимарівка, Біловодський р-н, Луганська обл., 92813 (сільський будинок культури, коридор, 1 поверх);Середня;39.596773,49.280912
440060; с.Плугатар; вул.Комарова, 13, с.Плугатар, Біловодський р-н, Луганська обл., 92806 (школа, спортивна зала);мала;39.736830,49.227837
440061; с.Новоспасівка, с.Узлісся; вул.Петровського, 1, с.Новоспасівка, Біловодський р-н, Луганська обл., 92806 (фельдшерський пункт, приймальний кабінет);мала;39.785164,49.174848
440062; с.Семикозівка – вул.Артільна, вул.Гончарна, вул.Дружби, вул.Клубна, вул.Кооперативна, вул.Майська, вул.Набережна, вул.Овочева, вул.Старосільська, вул.Широка: 1–86, 88–90, 92, 94, 96, 98, 100, 102, 104., вул.Шкільна, пров.Зелений, пров.Крутий, пров.Річний, пров.Світлий, пров.Яроватий; вул.Широка, 24, с.Семикозівка, Біловодський р-н, Луганська обл., 92803 (сільський клуб, фойє);Середня;39.564251,49.255129
440063; с.Семикозівка – вул.Вишнева, вул.Сонячна, вул.Тополева, вул.Уманського, вул.Широка: 87, 91, 93, 95, 97, 99, 101, 103, 105–138., пров.Комунарський, пров.Лісний, пров.Луговий, пров.Польовий, пров.Садовий; вул.Уманського, 77, с.Семикозівка, Біловодський р-н, Луганська обл., 92803 (будинок культури, фойє);мала;39.575912,49.228144
440064; с.Шуліківка; вул.Мічуріна, 46, с.Шуліківка, Біловодський р-н, Луганська обл., 92816 (дитячий садок, музичний зал);мала;39.492640,49.311058
440216; смт Марківка – вул.Виноградна, вул.Вишнева: 160–261., вул.Центральна: 102, 104, 106, 108, 110, 112, 114, 116, 118, 120–311., с.Деркулове; вул.Центральна, 228, смт Марківка, Марківський р-н, Луганська обл., 92400 (сільський будинок культури, актова зала);Середня;39.579394,49.494282
440217; смт Марківка – вул.Вишнева: 33–159., вул.Гагаріна, вул.Нова, вул.Степова, вул.Центральна: 22–101, 103, 105–105А, 107, 109, 111, 113, 115, 117, 119., вул.40 років Перемоги, пров.Комарова, пров.Першотравневий, пров.Поштовий, пров.Шевченка, кв-л Молодіжний; вул.Центральна, 29, смт Марківка, Марківський р-н, Луганська обл., 92400 (районний будинок культури, хол);Велика;39.571284,49.519172
440218; смт Марківка – вул.Вишнева: 2–32., вул.Комунальна, вул.Матросова, вул.Центральна: 2–21., вул.20 років Перемоги, пл.Соборна, пров.Лермонтова, пров.Парковий, пров.Південний, пров.Східний; пл.Соборна, 1, смт Марківка, Марківський р-н, Луганська обл., 92400 (аграрний ліцей, спортивний зал);Середня;39.569290,49.524439
440219; смт Марківка – вул.Березова, вул.Дружби народів, вул.Задорожнього, вул.Кленова, вул.Лісна, вул.Першотравнева, вул.Підгірна: 1–26, 28, 30, 32, 34–36, 38–78., вул.Рипала, вул.Роднікова, пл.Спортивна; вул.Задорожнього, 9, смт Марківка, Марківський р-н, Луганська обл., 92400 (школа №1, хол);Середня;39.553103,49.522138
440220; смт Марківка – вул.Єременка: 1–98, 100, 102, 104, 106, 108, 110, 112, 114, 116, 118., вул.Калинова, вул.Миру, вул.Мічуріна: 1–15, 17–17А, 19, 21, 23, 25–25А, 27, 29., вул.Павлюченка, вул.Східна; вул.Єременка, 24, смт Марківка, Марківський р-н, Луганська обл., 92400 (філія "Марківський райавтодор", актова зала);Середня;39.566693,49.529103
440221; смт Марківка – вул.Єременка: 99, 101, 103, 105, 107, 109, 111, 113, 115, 117, 119–244., вул.Зарічна, вул.Мічуріна: 16, 18, 20, 22, 24, 26, 28, 30–134., вул.Підгірна: 27, 29, 31, 33–33А, 37, 82–110., пров.Залівний, пров.Сонячний, пров.Шкільний; вул.Єременка, 145, смт Марківка, Марківський р-н, Луганська обл., 92400 (сільський будинок культури, хол);Середня;39.554578,49.555318
440222; с.Бондарівка; вул.Дружби, 53, с.Бондарівка, Марківський р-н, Луганська обл., 92443 (гімназія, спортивний зал);Середня;39.633738,49.400242
440223; с.Курячівка, с.Нова Україна; пл.Центральна, 1Б, с.Курячівка, Марківський р-н, Луганська обл., 92444 (школа, хол);мала;39.608014,49.391337
440224; с.Кризьке; вул.Миру, 12А, с.Кризьке, Марківський р-н, Луганська обл., 92424 (школа, хол) / вул.Миру, 18А, с.Кризьке, Марківський р-н, Луганська обл., 92424;Середня;39.627308,49.456307
440225; с.Сичівка; вул.Гагаріна, 6, с.Сичівка, Марківський р-н, Луганська обл., 92425 (сільський клуб, актова зала);мала;39.593059,49.433578
440226; с.Сичанське, с.Бондарне, с.Виноградне, с.Лобасове; вул.Єременка, 1, с.Сичанське, Марківський р-н, Луганська обл., 92440 (школа, коридор);Середня;39.398077,49.431401
440227; с.Городище, с.Караван-Солодкий, с.Крейдяне; вул.Центральна, 18, с.Караван-Солодкий, Марківський р-н, Луганська обл., 92441 (гімназія, спортивний зал);Середня;39.312406,49.422414
440228; с.Лісна Поляна, с.Крупчанське, с.Фартуківка; вул.Центральна, 13А, с.Лісна Поляна, Марківський р-н, Луганська обл., 92430 (сільська рада, к.1);Середня;39.473550,49.523101
440229; с.Марківське; вул.Пушкіна, 28А, с.Марківське, Марківський р-н, Луганська обл., 92433 (сільський клуб, хол);мала;39.406515,49.488339
440230; с.Скородна, с.Тишківка; вул.Мічуріна, 6, с.Тишківка, Марківський р-н, Луганська обл., 92434 (сільський клуб, актова зала) / вул.Мічуріна, 6, с.Тишківка, Марківський р-н, Луганська обл, 92434;мала;39.493895,49.465170
440231; с.Красне Поле, с.Гераськівське, с.Первомайське; вул.Шкільна, 10, с.Красне Поле, Марківський р-н, Луганська обл., 92410 (школа, спортивний зал);Середня;39.516361,49.668654
440232; с.Височинівка, с.Каськівка; вул.Шкільна, 58, с.Височинівка, Марківський р-н, Луганська обл., 92411 (школа, спортивний зал);мала;39.549803,49.707136
440233; с.Гераськівка; вул.Центральна, 13, с.Гераськівка, Марківський р-н, Луганська обл., 92413 (сільська рада, к.3);мала;39.543353,49.607549
440234; с.Тернівка; вул.Вишнева, 1Б, с.Тернівка, Марківський р-н, Луганська обл., 92415 (фельдшерсько-акушерський пункт, к.2);мала;39.486917,49.615238
440235; с.Рудівка; вул.Гагаріна, 17А, с.Рудівка, Марківський р-н, Луганська обл., 92414 (фельдшерсько-акушерський пункт, к.3);мала;39.581542,49.630630
440236; с.Просяне, с.Лимарівка; вул.Центральна, 9, с.Просяне, Марківський р-н, Луганська обл., 92420 (школа, хол);мала;39.663821,49.594160
440237; с.Розсохувате; вул.Матросова, 21, с.Розсохувате, Марківський р-н, Луганська обл., 92421 (школа, хол);мала;39.639824,49.541473
440238; с.Кабичівка; вул.Покровська, 118, с.Кабичівка, Марківський р-н, Луганська обл., 92422 (школа, спортивний зал);Середня;39.732443,49.460166
440239; с.Веселе, с.Липове; вул.40 років Перемоги, 50, с.Веселе, Марківський р-н, Луганська обл., 92423 (школа, спортивний зал);мала;39.838020,49.513288
440240; смт Мілове – вул.Армійська, вул.Вербна, вул.Гагаріна, вул.Джерельна, вул.Д.Народів: 3–141., вул.Желєзнодорожна, вул.ім. Баранова І.Ю., вул.Колхозна, вул.Красна, вул.Кузнечна, вул.Миру, вул.Міловська, вул.Молодіжна, вул.Нова, вул.Оборонна, вул.Первомайська: 1–10, 12., вул.Побєди, вул.Р.Зоря, вул.Робоча, вул.Центральна: 1–68., вул.Шкільна, пров.Восточний, пров.Пісчаний, пров.Почтовий, пров.Строітельний, пров.Транспортний, пров.Южний, тупик Вокзальний, тупик Комунальний, тупик Тихий; вул.Миру, 1, смт Мілове, Міловський р-н, Луганська обл., 92500 (Міловська дитяча школа мистецтв, клас хореографії, 1-й поверх);Велика;40.158623,49.355343
440241; смт Мілове – вул.Дачна, вул.Д.Народів: 143–181., вул.Донецька, вул.Заовражна, вул.Зоряна, вул.Калинова, вул.Київська, вул.Козацька, вул.Лісна, вул.Луганська, вул.Новоселівка, вул.Паркова, вул.Первомайська: 11, 15–37., вул.Покровська, вул.Полтавська, вул.Степна, вул.Українська, вул.Федотова, вул.Харківська, вул.Центральна: 70–175., вул.Шевченка, вул.Ювілейна, вул.Яблунева, вул.16 января, пров.Заводський, пров.Кар’єрний, пров.Кирпичний, пров.Коперативний, пров.Партизанський, пров.Полєвий, пров.Сєверний, пров.Торговий, тупик Елеваторний, тупик Нагорний, тупик Товарищеський, тупик Узький, в/ч А0523; вул.Первомайська, 17, смт Мілове, Міловський р-н, Луганська обл., 92500 (Міловський районний будинок культури, фойє, 1-й поверх);Велика;40.132756,49.377281
440242; с.Бондарівка, с.Олексіївка, с.Травневе; вул.Клубна, 1, с.Травневе, Міловський р-н, Луганська обл., 92506 (сільський клуб, актовий зал);мала;40.091018,49.391230
440243; с.Великоцьк, с.Журавське, с.Криничне, с.Рання Зоря, с.Ярське, с.Яснопромінське; вул.Красногорська, 1, с.Великоцьк, Міловський р-н, Луганська обл., 92505 (Великоцька школа, фойє, 1-й поверх);Середня;40.028704,49.349205
440244; с.Зориківка; вул.Центральна, 43, с.Зориківка, Міловський р-н, Луганська обл., 92523 (Зориківська школа, спортивний зал, 1-й поверх);мала;39.836219,49.413960
440245; с.Півнівка; вул.Миру, 123, с.Півнівка, Міловський р-н, Луганська обл., 92523 (сільський клуб, фойє);мала;39.884533,49.442165
440246; с.Микільське – вул.Вишнева, вул.Дружби, вул.Лісова: 2–12., вул.Миру, вул.Молодіжна, вул.Набережна, вул.Травнева, пров.Вишневий, пров.Кар’єрний, пров.Лісний, пров.Степовий, пров.Шкільний, с.Водянолипове; вул.Миру, 72А, с.Микільське, Міловський р-н, Луганська обл., 92510 (Микільська школа, фойє, 1-й поверх);Середня;39.951323,49.528735
440247; с.Микільське – вул.Лісова: 13–113., вул.Ювілейна, пров.Криничний, пров.Поштовий, с.Благодатне, с.Шелестівка(Микільська с/р); вул.Ювілейна, 41А, с.Микільське, Міловський р-н, Луганська обл., 92511 (сільський клуб, фойє);мала;39.983379,49.553567
440248; с.Діброва, с.Хоминське; вул.Українська, 1А, с.Діброва, Міловський р-н, Луганська обл., 92513 (Дібровська школа, спортивний зал);мала;40.094781,49.575936
440249; с.Морозівка; вул.Центральна, 24А, с.Морозівка, Міловський р-н, Луганська обл., 92520 (Морозівська школа, фойє, 1-й поверх);Середня;39.893371,49.468313
440250; с.Зоринівка; вул.Залізнодорожна, 2А, с.Зоринівка, Міловський р-н, Луганська обл., 92522 (Зоринівський елеватор, адміністративний будинок, актовий зал, 1-й поверх);мала;40.026275,49.477737
440251; с.Шелестівка; вул.Придорожна, 34А, с.Шелестівка, Міловський р-н, Луганська обл., 92521 (сільський клуб, глядацький зал);мала;39.911783,49.493357
440252; с.Мусіївка, с.Кирносове; вул.Центральна, 40, с.Мусіївка, Міловський р-н, Луганська обл., 92533 (Мусіївська школа, фойє, 1-й поверх);Середня;39.848170,49.243865
440253; с.Новострільцівка, с.Березове, с.Зарічне; пл.Центральна, 22, с.Новострільцівка, Міловський р-н, Луганська обл., 92540 (сільський будинок культури, танцювальний зал, 1-й поверх);Середня;39.913579,49.321957
440254; с.Стрільцівка; вул.Садова, 1, с.Стрільцівка, Міловський р-н, Луганська обл., 92530 (Стрільцівська школа, коридор);мала;39.847866,49.305585
440255; с.Новомикільське; вул.Степова, 10, с.Новомикільське, Міловський р-н, Луганська обл., 92531 (сільський клуб, фойє);мала;39.844498,49.346956
440256; с.Калмиківка; вул.Центральна, 23, с.Калмиківка, Міловський р-н, Луганська обл., 92532 (Калмиківська школа, коридор);мала;39.853612,49.287007
440284; с.Березівка, с.Синельникове; вул.Побєди, 29, с.Березівка, Новопсковський р-н, Луганська обл., 92314 (школа, учбовий клас);мала;38.841310,49.751552
440285; с.Танюшівка; вул.Центральна, 13, с.Танюшівка, Новопсковський р-н, Луганська обл., 92312 (будинок культури, кабінет червоного куточка);Середня;38.932168,49.771357
440286; с.Костянтинівка, с.Пелагіївка, с.Соснівка; вул.Молодіжна, 31, с.Соснівка, Новопсковський р-н, Луганська обл., 92313 (контора ТОВ "Технаука", кабінет керівника);мала;38.975045,49.776844
440287; смт Білолуцьк – вул.Блінова, вул.Жовтнева, вул.Зарічна, вул.Кольцова, вул.Миру, вул.Московська: 1–70., вул.Панасенко: 1–28А., вул.Пархоменко, вул.Садова, вул.Сонячна, вул.Українська, вул.Цегельна, вул.1 Травня, вул.8 Березня; вул.1 Травня, 5, смт Білолуцьк, Новопсковський р-н, Луганська обл., 92322 (будинок культури, глядацький зал);Середня;39.028398,49.699834
440288; смт Білолуцьк – вул.Вишнева, вул.Горького, вул.Джерельна, вул.Молодіжна, вул.Московська: 71–235., вул.Набережна, вул.Новостройна, вул.Слобожанська, вул.Степна, вул.Тітова, пров.Мирний; вул.Слобожанська, 46, смт Білолуцьк, Новопсковський р-н, Луганська обл., 92322 (приміщення підприємця Савченко, кімната пошти, к.2);Середня;39.004742,49.707179
440289; смт Білолуцьк – вул.Весняна, вул.Гагаріна, вул.Гоголя, вул.Єлізарова, вул.Калинова, вул.Лісова, вул.Макаренко, вул.Панасенко: 30–82., вул.Партизанська, вул.Підгорна, вул.Пушкіна, вул.Чернишової, вул.Чкалова, вул.Шевченка, с.Кубань; вул.Чернишової, 15А, смт Білолуцьк, Новопсковський р-н, Луганська обл., 92322 (Білолуцька гімназія, приміщення їдальні);Середня;39.014304,49.695785
440290; с.Можняківка, с-ще Зелений Гай; вул.Центральна, 81, с.Можняківка, Новопсковський р-н, Луганська обл., 92326 (будинок культури, хол, 1-й поверх);Середня;39.043897,49.683814
440292; с.Новобіла; вул.Миру, 2А, с.Новобіла, Новопсковський р-н, Луганська обл., 92310 (будинок культури, спортивна зала);Середня;39.192011,49.762114
440293; с.Козлове, с.Залісне, с.Литвинове, с.Шапран; вул.Центральна, 8, с.Козлове, Новопсковський р-н, Луганська обл., 92311 (будинок культури, глядацька зала);мала;39.160957,49.863504
440294; с.Світле; вул.Першотравнева, 22, с.Світле, Новопсковський р-н, Луганська обл., 92304 (будинок культури, глядацька зала);мала;39.083352,49.796768
440295; с.Павленкове; вул.Центральна, 4, с.Павленкове, Новопсковський р-н, Луганська обл., 92320 (школа, хол);мала;39.078723,49.707334
440296; с.Трембачеве; вул.Шкільна, 1А, с.Трембачеве, Новопсковський р-н, Луганська обл., 92321 (будинок культури, глядацька зала);мала;39.138697,49.727532
440297; с.Рогове; вул.Центральна, 2, с.Рогове, Новопсковський р-н, Луганська обл., 92341 (сільський клуб, фойє);мала;39.036595,49.627074
440298; с.Заайдарівка; вул.Первомайська, 37, с.Заайдарівка, Новопсковський р-н, Луганська обл., 92340 (будинок культури, фойє);Середня;39.102379,49.565979
440299; с.Осинове – вул.Вишнева, вул.Набережна, вул.Підгорна, вул.Приозерна, вул.Слобожанська: 1А–70, 74, 76, 78, 80, 84, 86–88, 90–90А, 92, 94–96, 98–102, 104, 106, 108, 110, 112–112А, 114, 116, 118, 120–126, 129–130, 132–134, 140., пров.Гагаріна, пров.Озерний, пров.Річний, с.Ікове, с.Хворостяне; вул.Слобожанська, 3А, с.Осинове, Новопсковський р-н, Луганська обл., 92342 (адміністративна будівля Новопсковської селищної ради, фойє);Середня;39.080805,49.556441
440300; с.Осинове – вул.Айдарська, вул.Виноградна, вул.Гагаріна, вул.Зелена, вул.І. Капустіна, вул.Кольцева, вул.Лісна, вул.Молодіжна, вул.Пісчана, вул.Пришкільна, вул.Садова, вул.Слобожанська: 71–73, 75, 77, 79, 81–83, 85, 89, 91, 93, 97, 103, 105, 107, 109, 111, 113, 115, 117, 119, 127, 131–131А, 135–139, 141–264., вул.Шевченка, пров.Дружний, пров.Приайдарський, пров.Сонячний, пров.Тихий, с.Тев’яшеве; вул.Лісна, 2А, с.Осинове, Новопсковський р-н, Луганська обл., 92343 (школа №2, фойє);Середня;39.054808,49.576431
440301; с.Макартетине; вул.Тихонівська, 42В, с.Макартетине, Новопсковський р-н, Луганська обл., 92346 (школа, фойє);мала;38.926746,49.578175
440302; смт Новопсков – вул.Айдарська, вул.Весняна, вул.Декабристів, вул.Джерельна, вул.Жеребилова, вул.Закарпатська, вул.Луганська, вул.Магістральна: 1–133., вул.Мира, вул.Набережна, вул.Партизанська, вул.Першотравнева, вул.Поштова, вул.Прикамянська, вул.Приозерна, вул.Суворова, вул.Українська: 1–78., вул.Шевченко, вул.8 Березня, пров.Айдарський, пров.Історичний, пров.Кошевого, пров.Мельничний, пров.Пісчаний, пров.Сонячний, пров.Тихий, пров.Чкалова; вул.Українська, 38, смт Новопсков, Новопсковський р-н, Луганська обл., 92303 (районний центр культури та дозвілля, фойє);Велика;39.093386,49.544502
440303; смт Новопсков – вул.Богдана Хмельницького, вул.Ватутіна, вул.Виноградна, вул.Вишнева, вул.Гагаріна, вул.Затишна, вул.Зоряна, вул.Кооперативна, вул.Магістральна: 134–196., вул.Молодіжна, вул.Озерна, вул.Побєди, вул.Слобожанська: 1–51., вул.Українська: 79–155., вул.Шкільна, вул.Шморгуна, пров.Дружби; вул.Шкільна, 15Б, смт Новопсков, Новопсковський р-н, Луганська обл., 92302 (селищний будинок культури, дискотечна зала);Велика;39.115023,49.537142
440304; смт Новопсков – вул.Газопроводська, вул.Горького, вул.Закам’янська, вул.Зарічна, вул.Каштанова, вул.Магістральна: 197–305., вул.Михайла Коцюбинського, вул.Новорозсошанська, вул.Садова, вул.Санаторна, вул.Слобожанська: 52–117., вул.Українська: 157–293., вул.Урожайна, вул.Ювілейна, пров.Водограйний, пров.Квітковий, пров.Луговий, пров.Степний, кв-л Тепличний; вул.Магістральна, 299, смт Новопсков, Новопсковський р-н, Луганська обл., 92301 (будинок культури газівників, танцювальна зала);Велика;39.138254,49.533652
440305; с.Риб’янцеве; вул.Миру, 14А, с.Риб’янцеве, Новопсковський р-н, Луганська обл., 92350 (будинок культури, фойє);Середня;39.019867,49.474172
440306; с.Писарівка; вул.Центральна, 23, с.Писарівка, Новопсковський р-н, Луганська обл., 92351 (будинок культури, глядацька зала);Середня;39.080455,49.501513
440307; с.Закотне; вул.Айдарська, 6, с.Закотне, Новопсковський р-н, Луганська обл., 92352 (будинок культури, глядацька зала);Середня;38.981650,49.467281
440308; с.Лисогорівка; вул.Братів Касяненко, 61А, с.Лисогорівка, Новопсковський р-н, Луганська обл., 92353 (сільський клуб, глядацька зала);мала;38.938427,49.434321
440309; с.Піски; вул.Центральна, 8, с.Піски, Новопсковський р-н, Луганська обл., 92354 (будинок культури, глядацька зала);Середня;38.990806,49.453831
440310; с.Булавинівка; вул.Айдарська, 9, с.Булавинівка, Новопсковський р-н, Луганська обл., 92355 (будинок культури, фойє);Середня;38.965082,49.414000
440311; с.Новорозсош; вул.Ювілейна, 35, с.Новорозсош, Новопсковський р-н, Луганська обл., 92335 (будинок культури, глядацька зала);Середня;39.228862,49.536256
440312; с.Донцівка; вул.Слобожанська, 21, с.Донцівка, Новопсковський р-н, Луганська обл., 92334 (будинок культури, фойє);Середня;39.273295,49.595798
440313; с.Кам’янка, с.Степне; вул.Пульного, 1, с.Кам’янка, Новопсковський р-н, Луганська обл., 92332 (будинок культури, фойє);Середня;39.365057,49.638096
440314; с.Ганусівка, с.Солоне; вул.Центральна, 25, с.Ганусівка, Новопсковський р-н, Луганська обл., 92330 (сільський клуб, глядацька зала);мала;39.373947,49.705313
440315; с.Пантюхине; вул.Центральна, 10, с.Пантюхине, Новопсковський р-н, Луганська обл., 92331 (сільський клуб, каб.1);мала;39.447649,49.752357
440462; с.Весела Гора, с.Світле, с.Цвітні Піски; вул.Весняна, 21, с.Весела Гора, Слов’яносербський р-н, Луганська обл., 93730 (школа, фойє);Середня;39.263372,48.708865
440463; с.Привітне; вул.Зелена, 84, с.Привітне, Слов’яносербський р-н, Луганська обл., 93730 (сільський клуб, фойє);мала;39.308314,48.666008
440464; с.Обозне, с.Паньківка, с.Христове; вул.Новостройна, 14, с.Обозне, Слов’яносербський р-н, Луганська обл., 93731 (ТОВ "Луга-Райз-Агро", фойє адмінбудинку);мала;39.308673,48.732469
440465; с.Весняне, с.Бердянка, с.Богданівка, с.Зарічне, с.Червоний Лиман; вул.Назаренка, 2, с.Весняне, Слов’яносербський р-н, Луганська обл., 93723 (сільський клуб, актова зала);Середня;38.713895,48.646212
440466; с.Жовте, с.Крута Гора, с.Новоселівка; пров.Комсомольський, 1, с.Жовте, Слов’яносербський р-н, Луганська обл., 93734 (будинок культури, актова зала);Середня;39.114812,48.647385
440467; с.Лопаскине, с.Лобачеве; вул.Шевченка, 6, с.Лобачеве, Новоайдарський р-н, Луганська обл., 93734 (сільський клуб, актова зала);мала;39.118008,48.661865
